Brad Boyes,F,86,13,24,37,4,1980-1986
Colin Miller,D,135,7,30,37,-30,1970-1972
Mark Pysyk,D,189,7,30,37,-21,1991-1996
Mikael Andersson,F,99,4,33,37,3,1972-1973
Cody Franson,D,127,7,29,36,-10,1981-1982
Chris Butler,D,155,5,31,36,4,1986-1991
Jeff Parker,F,137,16,19,35,-7,1992-2001
Larry Mickey,F,117,20,14,34,0,1990-1995
Clark Gillies,F,86,15,19,34,1,1980-1982
Mike Wilson,D,231,11,23,34,49,2021-2022
Doug Barrie,D,102,6,28,34,-40,2002-2013
Vladimir Tsyplakov,F,70,13,20,33,19,2002-2003
Cody McCormick,F,201,11,22,33,-24,2000-2001
Paul Andrea,F,47,11,21,32,-15,1980-1982
Shawn Anderson,D,113,6,26,32,5,1991-1992
Ron Anderson,F,111,14,16,30,-22,1971-1973
Normand Lacombe,F,94,12,18,30,-6,2021-2022
Nick Deslauriers,F,211,12,18,30,-54,2011-2015
Alex Tuch,F,37,9,21,30,4,1985-1987
Marcus Johansson,F,60,9,21,30,-12,1987-1992
Kevin Haller,D,81,7,23,30,-4,1998-2000
Larry Keenan,F,65,9,20,29,-14,1994-2000
David Fenyves,D,148,2,27,29,7,1972-1974
Steve Dykstra,D,128,5,23,28,-9,1987-1988
Jamie McGinn,F,63,14,13,27,-10,1994-2003
Craig Simpson,F,46,12,15,27,-8,1990-1993
Mike Donnelly,F,74,11,16,27,-6,2020-2022
Luke Adam,F,87,15,11,26,-11,1982-1990
John Gould,F,92,14,12,26,2,1994-1997
Tim Kennedy,F,79,10,16,26,-3,1995-1996
Dean Kennedy,D,144,6,20,26,-7,1985-1986
Josh Gorges,D,223,3,23,26,-42,2018-2019
Chris Stewart,F,66,11,14,25,-32,1997-2000
Jim Wiemer,D,74,8,17,25,-3,2018-2021
Randy Moller,D,126,5,20,25,2,1970-1971
Darrin Shannon,F,55,10,14,24,-6,1978-1979
Dick Duff,F,61,9,15,24,-20,2020-2021
Rory Fitzpatrick,D,157,9,15,24,-32,1995-1996
Chris Evans,D,61,6,18,24,-20,1987-1988
Vince Hinostroza,F,49,11,12,23,-8,1981-1982
Kevin OShea,F,93,10,13,23,-30,2002-2006
Philippe Boucher,D,65,7,16,23,6,2021-2022
Tom Kurvers,D,55,6,17,23,-13,1995-1996
Mark Astley,D,75,4,19,23,-15,2003-2006
Tim Horton,D,124,1,22,23,15,1987-1989
Mikko M�kel�,F,60,15,7,22,-2,2019-2021
Denis Hamel,F,130,13,9,22,-8,2019-2020
Bob Mongrain,F,70,11,11,22,2,2015-2018
Vyacheslav Kozlov,F,38,9,13,22,0,2019-2022
Rob McClanahan,F,66,5,17,22,-11,2017-2018
Dave Maloney,D,52,1,21,22,20,1998-1999
Paul Terbenche,D,121,2,19,21,-7,1984-1985
Jimmy Vesey,F,64,9,11,20,12,1988-1989
Chris Taylor,F,90,8,12,20,-4,2019-2020
Bill Stewart,D,81,3,17,20,5,2006-2015
Craig Muni,D,160,2,18,20,12,1999-2008
Benoit Pouliot,F,74,13,6,19,-8,2015-2018
Curtis Lazar,F,71,10,9,19,-7,2015-2016
Bob Corkum,F,106,10,9,19,-12,2011-2012
Scott Wilson,F,70,7,12,19,-24,1970-1972
Rob Niedermayer,F,71,5,14,19,-8,1989-1991
